start,end,flow,distance,Time
604,653,1,213.08339376122788,T3
604,653,1,198.08339376122788,T3
499,604,1,126.57855110483032,T3
650,653,1,305.5988463771659,T3
650,653,1,290.5988463771659,T3
653,604,1,213.08339376122788,T3
653,604,1,218.08339376122788,T3
653,604,1,283.08339376122785,T3
650,653,1,295.5988463771659,T3
653,604,1,188.08339376122788,T3
650,653,1,315.5988463771659,T3
650,653,1,210.5988463771659,T3
653,604,1,218.08339376122788,T3
653,604,2,198.08339376122788,T3
650,653,1,290.5988463771659,T3
653,604,1,213.08339376122788,T3
653,604,1,203.08339376122788,T3
653,604,1,188.08339376122788,T3
653,604,1,193.08339376122788,T3
650,653,1,295.5988463771659,T3
650,653,1,205.5988463771659,T3
653,604,1,93.08339376122788,T4
653,650,1,170.5988463771659,T4
499,248,1,168.83101891150187,T4
499,650,1,110.90775203134109,T4
604,653,1,163.08339376122788,T4
653,604,1,148.08339376122788,T4
650,653,1,140.5988463771659,T4
650,653,1,200.5988463771659,T4
604,499,1,116.57855110483032,T4
604,499,2,111.57855110483032,T4
248,96,1,136.57631366852297,T4
604,653,1,138.08339376122788,T4
96,248,1,131.57631366852297,T4
604,499,2,121.57855110483032,T4
604,499,1,126.57855110483032,T4
604,653,1,218.08339376122788,T4
650,653,1,255.5988463771659,T4
650,653,1,250.5988463771659,T4
653,604,1,173.08339376122788,T4
650,653,1,205.5988463771659,T4
653,604,1,173.08339376122788,T4
650,653,1,270.5988463771659,T4
650,653,1,250.5988463771659,T4
653,604,1,158.08339376122788,T4
653,604,1,173.08339376122788,T4
650,653,1,270.5988463771659,T4
650,653,1,190.5988463771659,T4
653,604,1,188.08339376122788,T4
650,653,1,245.5988463771659,T4
650,653,1,240.5988463771659,T4
650,653,1,240.5988463771659,T4
604,499,1,76.57855110483032,T4
604,499,1,116.57855110483032,T4
604,499,1,101.57855110483032,T4
604,653,1,198.08339376122788,T4
604,653,1,193.08339376122788,T4
604,653,1,218.08339376122788,T4
604,653,1,183.08339376122788,T4
604,653,1,178.08339376122788,T4
604,653,1,173.08339376122788,T4
604,499,1,101.57855110483032,T4
604,499,2,106.57855110483032,T4
604,653,1,198.08339376122788,T4
604,653,1,193.08339376122788,T4
604,499,2,121.57855110483032,T4
604,653,1,128.08339376122788,T4
604,499,1,126.57855110483032,T4
604,653,1,183.08339376122788,T4
604,653,1,178.08339376122788,T4
604,499,2,106.57855110483032,T4
